"plot_id","date","trait","value","genotype","environment","replicate","range","row","yield"
"CS17-DG2F-001","2017-04-20","canopy_cover",0.902531736166661,"NILASQ4G71I08S3/LH123HT","DG2F",5,3,343,8.545346697
"CS17-DG2F-001","2017-04-20","ExG",0.18665708321431,"NILASQ4G71I08S3/LH123HT","DG2F",5,3,343,8.545346697
"CS17-DG2F-001","2017-04-20","GLI",0.132202409750112,"NILASQ4G71I08S3/LH123HT","DG2F",5,3,343,8.545346697
"CS17-DG2F-001","2017-04-20","VARI",0.0959871818771823,"NILASQ4G71I08S3/LH123HT","DG2F",5,3,343,8.545346697
"CS17-DG2F-002","2017-04-20","canopy_cover",0.903379987915434,"NILASQ4G71I10S2/LH123HT","DG2F",5,3,345,10.98050333
"CS17-DG2F-002","2017-04-20","ExG",0.196719154083558,"NILASQ4G71I10S2/LH123HT","DG2F",5,3,345,10.98050333
"CS17-DG2F-002","2017-04-20","GLI",0.138995968576292,"NILASQ4G71I10S2/LH123HT","DG2F",5,3,345,10.98050333
"CS17-DG2F-002","2017-04-20","VARI",0.108488036978907,"NILASQ4G71I10S2/LH123HT","DG2F",5,3,345,10.98050333
"CS17-DG2F-003","2017-04-20","canopy_cover",0.908992024054028,"NILASQ4G71I01S2/LH123HT","DG2F",5,3,347,10.9074688
"CS17-DG2F-003","2017-04-20","ExG",0.190680913894495,"NILASQ4G71I01S2/LH123HT","DG2F",5,3,347,10.9074688
"CS17-DG2F-003","2017-04-20","GLI",0.134871341863023,"NILASQ4G71I01S2/LH123HT","DG2F",5,3,347,10.9074688
"CS17-DG2F-003","2017-04-20","VARI",0.103649668186386,"NILASQ4G71I01S2/LH123HT","DG2F",5,3,347,10.9074688
"CS17-DG2F-004","2017-04-20","canopy_cover",0.932219420673176,"NILASQ4G71I07S2/LH123HT","DG2F",5,3,349,10.49983115
"CS17-DG2F-004","2017-04-20","ExG",0.193256658673533,"NILASQ4G71I07S2/LH123HT","DG2F",5,3,349,10.49983115
"CS17-DG2F-004","2017-04-20","GLI",0.136779850371902,"NILASQ4G71I07S2/LH123HT","DG2F",5,3,349,10.49983115
"CS17-DG2F-004","2017-04-20","VARI",0.107560437490073,"NILASQ4G71I07S2/LH123HT","DG2F",5,3,349,10.49983115
"CS17-DG2F-005","2017-04-20","canopy_cover",0.906671719969945,"NILASQ4G71I06S2/LH123HT","DG2F",5,3,351,11.11133551
"CS17-DG2F-005","2017-04-20","ExG",0.191093735665071,"NILASQ4G71I06S2/LH123HT","DG2F",5,3,351,11.11133551
"CS17-DG2F-005","2017-04-20","GLI",0.135292800332635,"NILASQ4G71I06S2/LH123HT","DG2F",5,3,351,11.11133551
"CS17-DG2F-005","2017-04-20","VARI",0.0980943126155838,"NILASQ4G71I06S2/LH123HT","DG2F",5,3,351,11.11133551
"CS17-DG2F-006","2017-04-20","canopy_cover",0.913196869809665,"NILASQ4G71I11S3/LH123HT","DG2F",5,3,353,11.45611639
"CS17-DG2F-006","2017-04-20","ExG",0.1904991353277,"NILASQ4G71I11S3/LH123HT","DG2F",5,3,353,11.45611639
"CS17-DG2F-006","2017-04-20","GLI",0.134685023877356,"NILASQ4G71I11S3/LH123HT","DG2F",5,3,353,11.45611639
"CS17-DG2F-006","2017-04-20","VARI",0.104482944190808,"NILASQ4G71I11S3/LH123HT","DG2F",5,3,353,11.45611639
"CS17-DG2F-007","2017-04-20","canopy_cover",0.932715611800326,"NILASQ4G71I12S3/LH123HT","DG2F",5,3,355,11.65677698
"CS17-DG2F-007","2017-04-20","ExG",0.187466112543721,"NILASQ4G71I12S3/LH123HT","DG2F",5,3,355,11.65677698
"CS17-DG2F-007","2017-04-20","GLI",0.132854518959101,"NILASQ4G71I12S3/LH123HT","DG2F",5,3,355,11.65677698
"CS17-DG2F-007","2017-04-20","VARI",0.103029241901622,"NILASQ4G71I12S3/LH123HT","DG2F",5,3,355,11.65677698
"CS17-DG2F-008","2017-04-20","canopy_cover",0.935228677576845,"NILASQ4G71I05S2/LH123HT","DG2F",5,3,357,11.94707002
"CS17-DG2F-008","2017-04-20","ExG",0.19440158379595,"NILASQ4G71I05S2/LH123HT","DG2F",5,3,357,11.94707002
"CS17-DG2F-008","2017-04-20","GLI",0.13741156515724,"NILASQ4G71I05S2/LH123HT","DG2F",5,3,357,11.94707002
"CS17-DG2F-008","2017-04-20","VARI",0.110475683325077,"NILASQ4G71I05S2/LH123HT","DG2F",5,3,357,11.94707002
"CS17-DG2F-009","2017-04-20","canopy_cover",0.939595659259704,"NILASQ4G71I03S2/LH123HT","DG2F",5,3,359,11.64412965
"CS17-DG2F-009","2017-04-20","ExG",0.208586132123526,"NILASQ4G71I03S2/LH123HT","DG2F",5,3,359,11.64412965
"CS17-DG2F-009","2017-04-20","GLI",0.146970347701091,"NILASQ4G71I03S2/LH123HT","DG2F",5,3,359,11.64412965
"CS17-DG2F-009","2017-04-20","VARI",0.129895393154807,"NILASQ4G71I03S2/LH123HT","DG2F",5,3,359,11.64412965
"CS17-DG2F-010","2017-04-20","canopy_cover",0.939705987761962,"NILASQ4G71I09S2/LH123HT","DG2F",5,3,361,10.44629794
"CS17-DG2F-010","2017-04-20","ExG",0.204169738334219,"NILASQ4G71I09S2/LH123HT","DG2F",5,3,361,10.44629794
"CS17-DG2F-010","2017-04-20","GLI",0.14388558955512,"NILASQ4G71I09S2/LH123HT","DG2F",5,3,361,10.44629794
"CS17-DG2F-010","2017-04-20","VARI",0.121942902161878,"NILASQ4G71I09S2/LH123HT","DG2F",5,3,361,10.44629794
"CS17-DG2F-011","2017-04-20","canopy_cover",0.946700410427174,"NILASQ4G71I04S2/LH123HT","DG2F",5,3,363,10.97398878
"CS17-DG2F-011","2017-04-20","ExG",0.209377778105827,"NILASQ4G71I04S2/LH123HT","DG2F",5,3,363,10.97398878
"CS17-DG2F-011","2017-04-20","GLI",0.147380588255321,"NILASQ4G71I04S2/LH123HT","DG2F",5,3,363,10.97398878
"CS17-DG2F-011","2017-04-20","VARI",0.129049877363674,"NILASQ4G71I04S2/LH123HT","DG2F",5,3,363,10.97398878
"CS17-DG2F-012","2017-04-20","canopy_cover",0.943863128753922,"2369/LH123HT","DG2F",5,3,365,10.70245634
"CS17-DG2F-012","2017-04-20","ExG",0.215611732548542,"2369/LH123HT","DG2F",5,3,365,10.70245634
"CS17-DG2F-012","2017-04-20","GLI",0.151565981393452,"2369/LH123HT","DG2F",5,3,365,10.70245634
