"plot_id","date","trait","value"
"CS17-DG2F-001","2017-04-20","canopy_cover",0.902531736166661
"CS17-DG2F-001","2017-04-20","ExG",0.18665708321431
"CS17-DG2F-001","2017-04-20","GLI",0.132202409750112
"CS17-DG2F-001","2017-04-20","VARI",0.0959871818771823
"CS17-DG2F-002","2017-04-20","canopy_cover",0.903379987915434
"CS17-DG2F-002","2017-04-20","ExG",0.196719154083558
"CS17-DG2F-002","2017-04-20","GLI",0.138995968576292
"CS17-DG2F-002","2017-04-20","VARI",0.108488036978907
"CS17-DG2F-003","2017-04-20","canopy_cover",0.908992024054028
"CS17-DG2F-003","2017-04-20","ExG",0.190680913894495
"CS17-DG2F-003","2017-04-20","GLI",0.134871341863023
"CS17-DG2F-003","2017-04-20","VARI",0.103649668186386
"CS17-DG2F-004","2017-04-20","canopy_cover",0.932219420673176
"CS17-DG2F-004","2017-04-20","ExG",0.193256658673533
"CS17-DG2F-004","2017-04-20","GLI",0.136779850371902
"CS17-DG2F-004","2017-04-20","VARI",0.107560437490073
"CS17-DG2F-005","2017-04-20","canopy_cover",0.906671719969945
"CS17-DG2F-005","2017-04-20","ExG",0.191093735665071
"CS17-DG2F-005","2017-04-20","GLI",0.135292800332635
"CS17-DG2F-005","2017-04-20","VARI",0.0980943126155838
"CS17-DG2F-006","2017-04-20","canopy_cover",0.913196869809665
"CS17-DG2F-006","2017-04-20","ExG",0.1904991353277
"CS17-DG2F-006","2017-04-20","GLI",0.134685023877356
"CS17-DG2F-006","2017-04-20","VARI",0.104482944190808
"CS17-DG2F-007","2017-04-20","canopy_cover",0.932715611800326
"CS17-DG2F-007","2017-04-20","ExG",0.187466112543721
"CS17-DG2F-007","2017-04-20","GLI",0.132854518959101
"CS17-DG2F-007","2017-04-20","VARI",0.103029241901622
"CS17-DG2F-008","2017-04-20","canopy_cover",0.935228677576845
"CS17-DG2F-008","2017-04-20","ExG",0.19440158379595
"CS17-DG2F-008","2017-04-20","GLI",0.13741156515724
"CS17-DG2F-008","2017-04-20","VARI",0.110475683325077
"CS17-DG2F-009","2017-04-20","canopy_cover",0.939595659259704
"CS17-DG2F-009","2017-04-20","ExG",0.208586132123526
"CS17-DG2F-009","2017-04-20","GLI",0.146970347701091
"CS17-DG2F-009","2017-04-20","VARI",0.129895393154807
"CS17-DG2F-010","2017-04-20","canopy_cover",0.939705987761962
"CS17-DG2F-010","2017-04-20","ExG",0.204169738334219
"CS17-DG2F-010","2017-04-20","GLI",0.14388558955512
"CS17-DG2F-010","2017-04-20","VARI",0.121942902161878
"CS17-DG2F-011","2017-04-20","canopy_cover",0.946700410427174
"CS17-DG2F-011","2017-04-20","ExG",0.209377778105827
"CS17-DG2F-011","2017-04-20","GLI",0.147380588255321
"CS17-DG2F-011","2017-04-20","VARI",0.129049877363674
"CS17-DG2F-012","2017-04-20","canopy_cover",0.943863128753922
"CS17-DG2F-012","2017-04-20","ExG",0.215611732548542
"CS17-DG2F-012","2017-04-20","GLI",0.151565981393452
"CS17-DG2F-012","2017-04-20","VARI",0.133873138506336
"CS17-DG2F-013","2017-04-20","canopy_cover",0.942084217002174
"CS17-DG2F-013","2017-04-20","ExG",0.202896651629779
"CS17-DG2F-013","2017-04-20","GLI",0.143014773428218
"CS17-DG2F-013","2017-04-20","VARI",0.114911823679329
"CS17-DG2F-014","2017-04-20","canopy_cover",0.918424648223736
"CS17-DG2F-014","2017-04-20","ExG",0.233197606628107
"CS17-DG2F-014","2017-04-20","GLI",0.163585807432002
"CS17-DG2F-014","2017-04-20","VARI",0.157163077769006
"CS17-DG2F-015","2017-04-20","canopy_cover",0.935540341154224
"CS17-DG2F-015","2017-04-20","ExG",0.24002319119258
"CS17-DG2F-015","2017-04-20","GLI",0.168570998573154
"CS17-DG2F-015","2017-04-20","VARI",0.170250207315174
"CS17-DG2F-016","2017-04-20","canopy_cover",0.922177480037714
"CS17-DG2F-016","2017-04-20","ExG",0.248539300442349
"CS17-DG2F-016","2017-04-20","GLI",0.174273664569934
"CS17-DG2F-016","2017-04-20","VARI",0.182852717502439
"CS17-DG2F-017","2017-04-20","canopy_cover",0.935912518172154
"CS17-DG2F-017","2017-04-20","ExG",0.232114533349434
"CS17-DG2F-017","2017-04-20","GLI",0.163187897400566
"CS17-DG2F-017","2017-04-20","VARI",0.160648530886943
"CS17-DG2F-018","2017-04-20","canopy_cover",0.88954172334907
"CS17-DG2F-018","2017-04-20","ExG",0.260161382155614
"CS17-DG2F-018","2017-04-20","GLI",0.181914863044834
"CS17-DG2F-018","2017-04-20","VARI",0.191170136528457
"CS17-DG2F-019","2017-04-20","canopy_cover",0.973855886160945
"CS17-DG2F-019","2017-04-20","ExG",0.243838435295675
"CS17-DG2F-019","2017-04-20","GLI",0.17096558460977
"CS17-DG2F-019","2017-04-20","VARI",0.179755702534448
"CS17-DG2F-020","2017-04-20","canopy_cover",0.933741879162958
"CS17-DG2F-020","2017-04-20","ExG",0.238016973377957
"CS17-DG2F-020","2017-04-20","GLI",0.166887805548253
"CS17-DG2F-020","2017-04-20","VARI",0.166483015485716
"CS17-DG2F-021","2017-04-20","canopy_cover",0.973582767099743
"CS17-DG2F-021","2017-04-20","ExG",0.25484247836448
"CS17-DG2F-021","2017-04-20","GLI",0.178129932425199
"CS17-DG2F-021","2017-04-20","VARI",0.178754442016208
"CS17-DG2F-022","2017-04-20","canopy_cover",0.975130739703648
"CS17-DG2F-022","2017-04-20","ExG",0.281578440785449
"CS17-DG2F-022","2017-04-20","GLI",0.195856558333252
"CS17-DG2F-022","2017-04-20","VARI",0.198879558387933
"CS17-DG2F-023","2017-04-20","canopy_cover",0.981728168242261
"CS17-DG2F-023","2017-04-20","ExG",0.249868556334903
"CS17-DG2F-023","2017-04-20","GLI",0.174814043405514
"CS17-DG2F-023","2017-04-20","VARI",0.154807241149004
"CS17-DG2F-024","2017-04-20","canopy_cover",0.938340318069864
"CS17-DG2F-024","2017-04-20","ExG",0.221451654483238
"CS17-DG2F-024","2017-04-20","GLI",0.155551370653447
"CS17-DG2F-024","2017-04-20","VARI",0.12955281383737
"CS17-DG2F-025","2017-04-20","canopy_cover",0.940963809138738
"CS17-DG2F-025","2017-04-20","ExG",0.234954470887085
"CS17-DG2F-025","2017-04-20","GLI",0.164913845723529
"CS17-DG2F-025","2017-04-20","VARI",0.156240286594344
"CS17-DG2F-026","2017-04-20","canopy_cover",0.942597113129626
"CS17-DG2F-026","2017-04-20","ExG",0.257551356758389
"CS17-DG2F-026","2017-04-20","GLI",0.179981453827581
"CS17-DG2F-026","2017-04-20","VARI",0.193644072561876
"CS17-DG2F-027","2017-04-20","canopy_cover",0.9160059158977
"CS17-DG2F-027","2017-04-20","ExG",0.226564422853069
"CS17-DG2F-027","2017-04-20","GLI",0.159194933497749
"CS17-DG2F-027","2017-04-20","VARI",0.147515119369426
"CS17-DG2F-028","2017-04-20","canopy_cover",0.899194311085437
